gain_setting,component,model,term,alpha_refit
H2,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,-0.00031144974444704144
H2,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,0.00041716277787732245
L3,PC2,linear,THERM_FPGA,-4.241541048681041e-06
L3,PC2,linear,SPE_ADC1_T,6.129115062837943e-06
L3,PC2,linear,SPE_1VAD8_V,0.0009778525347759236
L3,PC2,linear,VMON_1V2D,-0.0019164205034234163
L3,PC2,linear,SPE_1VAD8_C,0.0017216363418800858
L3,PC2,quadratic,THERM_FPGA,-4.372487635936106e-08
L3,PC2,quadratic,VMON_1V2D,9.510298178431644e-05
L3,PC2,quadratic,SPE_1VAD8_C,-0.0006080571160621893
M3,PC2,linear,1,-0.0958314177704684
M3,PC2,linear,THERM_FPGA,-0.00013510834862019185
M3,PC2,linear,SPE_ADC1_T,0.00018649906575264608
M3,PC2,linear,SPE_1VAD8_V,-0.0160631707655368
M3,PC2,linear,VMON_1V2D,0.11198880885831419
M3,PC2,linear,SPE_1VAD8_C,-0.05513898448326018
M3,PC2,quadratic,1,-0.08090104338949158
M3,PC2,quadratic,THERM_FPGA,9.879254395104131e-05
M3,PC2,quadratic,SPE_ADC1_T,-0.00019482646762890597
M3,PC2,quadratic,SPE_1VAD8_V,0.03006662382033615
M3,PC2,quadratic,VMON_1V2D,0.025649779068458736
M3,PC2,quadratic,SPE_1VAD8_C,-0.03361317915167147
M3,PC2,quadratic,THERM_FPGA*THERM_FPGA,3.85094311248947e-06
M3,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,7.976508575145965e-06
M3,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,-1.0211690434432826e-05
H3,PC2,linear,1,-7.675213017913149
H3,PC2,linear,THERM_FPGA,0.005647884683819465
H3,PC2,linear,SPE_ADC1_T,-0.006793313814177623
H3,PC2,linear,SPE_1VAD8_V,6.826936211008187
H3,PC2,linear,VMON_1V2D,-5.175745460017416
H3,PC2,linear,SPE_1VAD8_C,4.820036262854707
H3,PC2,quadratic,1,-5.3302630141610985
H3,PC2,quadratic,THERM_FPGA,-0.005870885580731776
H3,PC2,quadratic,SPE_ADC1_T,0.010139813803790216
H3,PC2,quadratic,SPE_1VAD8_V,2.49328956216834
H3,PC2,quadratic,SPE_1VAD8_C,2.703891283339498
H3,PC2,quadratic,THERM_FPGA*THERM_FPGA,-0.00024676683099493914
H3,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,-0.00043986414881346707
H3,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,0.0006241132135881334
